name,glon,glat,ts,r95,diffuse,d,Fp,Ep,source type
4FGL J0300.0-5908,277.190,-51.076,56.268,0.044,-0.614,0.444,0.009,10.725,UNID-BLL
4FGL J0300.4+3450,151.045,-20.950,48.939,0.065,-0.010,0.105,0.021,1.308,UNID-BLL
4FGL J0301.6-5617,273.464,-52.728,127.337,0.047,-0.692,0.555,0.038,4.777,UNID-BLL
4FGL J0302.5+3354,151.798,-21.522,51.174,0.041,0.048,0.272,0.028,43.359,UNID-BLL
4FGL J0303.6+6711,135.156,7.666,29.495,0.222,0.672,0.988,0.146,0.942,UNID-FSRQ
4FGL J0304.6+6554,135.975,6.471,71.232,0.049,0.581,1.306,0.153,2.669,UNID-PSR
4FGL J0305.4+5945,139.086,1.112,52.836,0.175,0.880,2.000,2.134,0.520,UNID-FSRQ
4FGL J0307.8+7443,131.705,14.219,4679.082,0.015,0.368,0.935,32.013,1.474,MSP
4FGL J0309.9-6941,287.276,-42.972,50.376,0.100,-0.447,2.000,0.038,1.192,UNID-BLL
4FGL J0311.3+2940,155.962,-24.285,63.012,0.256,0.188,1.133,0.533,0.396,UNID-FSRQ
4FGL J0312.1-0921,191.484,-52.360,704.584,0.033,-0.185,0.403,1.359,1.278,MSP
4FGL J0312.6-1601,201.536,-55.473,26.373,0.058,-0.485,0.116,0.004,37.451,UNID-BLL
4FGL J0312.7+2012,162.514,-31.585,53.505,0.043,0.122,0.260,0.023,10.594,UNID-BLL
4FGL J0314.1+2827,157.269,-24.693,35.251,0.115,0.185,0.302,0.184,0.178,UNID-BLL
4FGL J0314.1+5033,144.826,-6.104,40.035,0.159,0.513,0.927,0.325,0.554,UNID-FSRQ
4FGL J0314.2+2419,159.981,-28.076,46.712,0.058,0.004,-0.018,0.244,0.100,UNID-BLL
4FGL J0318.2+0254,178.456,-43.603,808.685,0.029,-0.145,0.883,2.470,1.853,MSP
4FGL J0318.8+2848,157.999,-23.922,37.111,0.241,0.351,0.957,0.118,1.291,UNID-PSR
4FGL J0323.6+6142,139.948,3.962,60.175,0.166,0.771,0.049,33.124,0.100,UNID-PSR
4FGL J0327.3+2355,162.947,-26.566,39.816,0.094,0.024,0.334,0.105,0.277,UNID-BLL
4FGL J0327.6+2620,161.332,-24.659,58.918,0.047,-0.049,-0.100,0.851,0.100,UNID-BLL
4FGL J0328.0+6046,141.031,3.457,34.462,0.278,0.742,1.104,0.536,0.534,UNID-FSRQ
4FGL J0328.4-4736,257.491,-53.219,342.785,0.040,-0.725,0.100,0.415,0.100,UNID-FSRQ
4FGL J0328.6-1129,197.743,-49.958,140.989,0.057,-0.389,-0.100,3.074,0.100,UNID-BLL
4FGL J0328.6+5330,145.085,-2.454,64.484,0.116,0.767,0.842,0.685,0.670,unk-psr
4FGL J0329.2+5750,142.700,1.164,46.201,0.284,1.040,0.479,11.115,0.100,UNID-PSR
4FGL J0330.1+5038,146.898,-4.700,145.813,0.069,0.494,0.514,0.763,0.633,MSP
4FGL J0330.7+5845,142.295,1.793,62.905,0.156,1.039,1.796,1.321,0.893,UNID-PSR
4FGL J0331.2-0919,195.381,-48.353,28.551,0.114,-0.478,0.373,0.015,0.747,UNID-BLL
4FGL J0333.0-3044,228.628,-54.624,56.233,0.055,-0.705,0.201,0.010,8.080,UNID-BLL
4FGL J0333.4-2705,222.520,-54.106,67.635,0.040,-0.768,0.208,0.017,31.785,UNID-BLL
4FGL J0334.3+4820,148.779,-6.180,59.484,0.079,0.422,-0.100,25.568,0.100,UNID-BLL
4FGL J0335.6-0727,193.858,-46.428,36.445,0.070,-0.337,0.022,0.007,1.045,UNID-BLL
4FGL J0336.0+7502,133.090,15.524,1539.915,0.020,0.153,0.656,3.486,1.530,lmb-psr
4FGL J0336.7-2445,218.816,-52.930,38.273,0.106,-0.705,2.000,0.022,1.429,UNID-BLL
4FGL J0337.5+2423,164.643,-24.727,50.015,0.069,0.060,-0.018,0.370,0.100,UNID-BLL
4FGL J0337.9+4058,153.721,-11.707,55.559,0.057,0.160,0.429,0.054,2.159,UNID-BLL
4FGL J0340.3+4130,153.787,-11.021,4288.184,0.014,0.205,0.618,30.118,2.644,MSP
4FGL J0340.4+5302,146.813,-1.846,1332.089,0.059,0.830,1.364,421.254,0.225,UNID-PSR
4FGL J0341.9+3153,160.323,-18.199,84.301,0.074,0.901,0.551,0.648,0.854,UNID-PSR
4FGL J0342.4+3125,160.606,-18.689,44.329,0.077,0.507,0.183,0.702,0.100,UNID-BLL
4FGL J0343.3-6303,277.240,-44.549,236.646,0.036,-0.361,0.131,0.094,0.751,UNID-BLL
4FGL J0343.4+3621,157.528,-14.691,217.385,0.041,0.314,0.671,0.629,1.351,fsrq-psr
