4FGL-DR4,glat,glon,significance,r95,variability,Ep,Fp,d,association,prediction,p_bll,p_fsrq,p_pulsar
4FGL J0045.8-1324,-76.213,117.258,5.911,0.068,13.071,25.491,0.005,0.055,unid,bll,0.912,0.080,0.009
4FGL J0045.9-2021,-83.121,112.118,8.428,0.050,14.680,2.241,0.016,0.156,unid,bll,0.945,0.054,0.001
4FGL J0046.7-7048,-46.310,303.493,4.670,0.075,12.761,0.100,0.035,-0.044,unid,bll,0.933,0.060,0.008
4FGL J0046.9+0705,-55.762,120.958,5.085,0.114,24.414,1.184,0.018,0.428,unid,bll,0.917,0.079,0.004
4FGL J0048.6-6347,-53.334,303.443,18.787,0.054,7.856,1.809,0.217,0.664,unid,pulsar,0.012,0.020,0.968
4FGL J0050.8+3330,-29.360,122.788,4.748,0.151,8.843,0.100,0.052,0.147,unid,bll,0.869,0.123,0.008
4FGL J0052.1+6444,1.870,123.010,9.470,0.093,14.936,0.587,1.107,0.439,unid,pulsar,0.008,0.036,0.956
4FGL J0055.7+4507,-17.741,123.732,4.498,0.051,10.596,12.202,0.010,0.769,unid,bll,0.924,0.069,0.007
4FGL J0057.9+6326,0.576,123.663,10.585,0.042,16.039,110.847,0.242,0.147,unid,bll,0.915,0.071,0.014
4FGL J0058.1+6915,6.397,123.533,5.473,0.081,18.678,0.289,0.675,0.605,unid,fsrq,0.008,0.872,0.121
4FGL J0058.3-4603,-71.023,299.236,5.724,0.075,20.470,1.285,0.004,0.042,unid,bll,0.899,0.088,0.012
4FGL J0059.4-5654,-60.185,300.730,25.888,0.066,100.922,0.254,4.030,0.433,unid,fsrq,0.207,0.784,0.009
4FGL J0102.0-6240,-54.403,300.843,7.852,0.084,27.509,2.909,0.011,0.153,unid,bll,0.916,0.080,0.004
4FGL J0102.1+4458,-17.862,124.928,4.894,0.092,18.863,5.439,0.012,0.750,unid,bll,0.925,0.070,0.005
4FGL J0102.3+1000,-52.765,127.393,12.363,0.059,17.637,5.337,0.165,0.712,unid,bll,0.864,0.082,0.053
4FGL J0104.6-0818,-70.926,132.989,4.279,0.168,14.558,0.100,0.063,0.176,unid,bll,0.824,0.170,0.006
4FGL J0104.8-2215,-84.258,155.555,4.148,0.085,74.585,2.697,0.007,0.733,unid,bll,0.684,0.295,0.022
4FGL J0106.1+1131,-51.179,128.697,6.747,0.076,16.508,4.318,0.022,0.429,unid,bll,0.947,0.052,0.001
4FGL J0107.4+0459,-57.654,130.416,5.901,0.090,13.893,14.458,0.014,0.380,unid,bll,0.923,0.074,0.003
4FGL J0110.0-5246,-64.113,296.481,6.800,0.131,25.367,1.010,0.033,0.811,unid,bll,0.576,0.205,0.220
4FGL J0110.6+0415,-58.277,132.072,4.525,0.066,11.052,13.480,0.006,0.186,unid,bll,0.917,0.077,0.006
4FGL J0112.0+3442,-27.977,127.728,4.858,0.106,17.455,0.831,0.015,0.338,unid,bll,0.931,0.066,0.003
4FGL J0112.5-0651,-69.119,137.755,4.888,0.273,19.587,0.194,0.383,0.737,unid,fsrq,0.003,0.988,0.009
4FGL J0115.4-2917,-84.288,236.604,7.328,0.057,11.851,10.972,0.011,0.210,unid,bll,0.917,0.079,0.004
4FGL J0116.8+6914,6.481,125.190,7.234,0.148,7.947,0.374,1.654,1.172,unid,pulsar,0.056,0.340,0.604
4FGL J0117.9+1430,-47.878,132.518,7.041,0.151,29.459,0.100,0.276,0.116,unid,fsrq,0.526,0.470,0.004
4FGL J0118.3-6008,-56.666,296.838,13.642,0.120,69.523,0.769,0.069,0.201,unid,bll,0.716,0.282,0.002
4FGL J0120.1+0505,-57.040,136.171,4.012,0.096,17.762,0.100,0.149,-0.030,unid,bll,0.944,0.053,0.002
4FGL J0120.2-7944,-37.297,301.325,4.887,0.061,21.396,0.100,0.006,0.024,unid,bll,0.813,0.156,0.031
4FGL J0121.4-7216,-44.661,299.731,5.210,0.056,9.775,19.096,0.009,0.632,unid,bll,0.917,0.075,0.008
4FGL J0121.5+7906,16.318,124.411,5.060,0.062,15.243,0.100,0.015,-0.011,unid,bll,0.897,0.091,0.012
4FGL J0122.4+1034,-51.556,135.238,5.798,0.047,19.407,13.595,0.013,0.417,unid,bll,0.921,0.075,0.004
4FGL J0122.4-1509,-76.024,155.544,4.379,0.094,10.272,2.534,0.009,0.724,unid,bll,0.913,0.056,0.030
4FGL J0123.7-4129,-74.179,280.212,4.095,0.087,7.287,5.195,0.003,0.476,unid,bll,0.897,0.081,0.021
4FGL J0124.0+3035,-31.758,131.185,7.150,0.153,17.235,0.108,0.724,0.446,unid,fsrq,0.011,0.981,0.008
4FGL J0125.3+6820,5.676,126.063,7.068,0.107,19.881,0.286,1.388,0.625,unid,pulsar,0.013,0.800,0.187
4FGL J0125.8-6348,-52.900,296.650,4.824,0.088,10.647,0.196,0.014,0.143,unid,bll,0.908,0.084,0.008
4FGL J0125.9-6303,-53.628,296.341,5.304,0.073,11.505,3.470,0.006,0.278,unid,bll,0.913,0.083,0.004
4FGL J0126.3-6746,-49.010,297.911,6.009,0.068,12.941,15.233,0.009,0.527,unid,bll,0.922,0.073,0.005
4FGL J0126.8+2412,-37.957,133.176,6.949,0.090,45.127,0.100,0.639,0.183,unid,fsrq,0.097,0.896,0.007
4FGL J0128.1+7542,12.999,125.248,5.140,0.135,16.075,0.406,0.170,0.594,unid,fsrq,0.032,0.930,0.038
4FGL J0128.4+2614,-35.897,133.182,5.711,0.189,8.228,0.240,0.649,0.793,unid,fsrq,0.009,0.941,0.050
4FGL J0128.8-4626,-69.326,284.443,5.427,0.164,12.836,0.696,0.009,0.261,unid,bll,0.935,0.062,0.003
4FGL J0131.7-5346,-62.335,290.057,12.051,0.048,6.701,1.470,0.081,0.779,unid,pulsar,0.034,0.126,0.841
4FGL J0132.1-0956,-70.314,154.020,10.884,0.186,37.874,0.100,3.405,0.307,unid,fsrq,0.022,0.973,0.005
4FGL J0132.9-4259,-72.046,277.622,7.453,0.146,55.815,0.100,0.453,0.257,unid,fsrq,0.039,0.955,0.006
4FGL J0133.0+5931,-2.914,128.191,7.797,0.049,45.603,0.100,2.114,-0.016,unid,fsrq,0.190,0.801,0.009
