4FGL-DR4,glat,glon,significance,r95,variability,Ep,Fp,d,association,prediction,p_bll,p_fsrq,p_pulsar
4FGL J1536.0-2729,22.575,342.156,4.801,0.060,11.611,0.100,0.065,0.059,unid,bll,0.914,0.081,0.005
4FGL J1536.2-6023,-3.758,321.965,4.334,0.075,8.338,0.180,0.486,0.279,unid,fsrq,0.213,0.765,0.023
4FGL J1536.8-4327,9.859,332.063,7.784,0.112,33.291,0.100,3.957,0.379,unid,fsrq,0.022,0.972,0.006
4FGL J1537.2+2635,53.187,41.829,4.740,0.153,9.923,0.100,0.374,0.177,unid,fsrq,0.319,0.674,0.007
4FGL J1537.3-6110,-4.475,321.611,6.063,0.143,9.064,0.949,0.364,0.853,unid,pulsar,0.002,0.017,0.982
4FGL J1537.5+0046,42.258,6.505,4.380,0.187,17.292,0.100,0.893,0.165,unid,fsrq,0.260,0.731,0.009
4FGL J1537.8+2528,52.832,40.058,4.767,0.056,15.355,67.994,0.053,0.895,unid,bll,0.879,0.102,0.019
4FGL J1538.0-4638,7.177,330.319,12.631,0.090,9.031,0.278,5.868,0.610,unid,pulsar,0.169,0.421,0.410
4FGL J1538.2-6201,-5.224,321.188,4.507,0.142,8.490,0.330,0.392,0.500,unid,pulsar,0.027,0.806,0.167
4FGL J1538.9+0425,44.102,10.869,6.206,0.090,20.217,0.388,0.070,0.211,unid,bll,0.824,0.169,0.007
4FGL J1539.1+1008,47.053,17.846,6.658,0.143,7.645,0.100,0.200,0.106,unid,bll,0.649,0.345,0.006
4FGL J1539.4-3323,17.532,338.788,39.632,0.023,10.334,2.681,17.169,1.289,unid,pulsar,0.020,0.036,0.944
4FGL J1541.2-5201,2.556,327.507,5.307,0.104,16.624,2.218,0.393,1.143,unid,pulsar,0.002,0.006,0.992
4FGL J1541.5-4215,10.300,333.494,4.467,0.142,16.457,0.100,1.328,0.143,unid,fsrq,0.303,0.687,0.009
4FGL J1542.1-5901,-3.106,323.383,8.188,0.090,19.762,0.278,2.563,0.355,unid,fsrq,0.220,0.702,0.078
4FGL J1542.2-6542,-8.420,319.314,4.098,0.072,40.511,0.100,0.608,0.046,unid,fsrq,0.504,0.490,0.006
4FGL J1543.1+4209,52.095,67.643,6.760,0.059,22.990,8.830,0.013,0.476,unid,bll,0.922,0.075,0.003
4FGL J1543.4-5925,-3.525,323.273,7.473,0.153,13.043,0.711,0.917,0.651,unid,pulsar,0.000,0.007,0.993
4FGL J1543.6-0244,38.887,4.090,15.472,0.056,15.497,0.863,1.227,0.750,unid,pulsar,0.000,0.003,0.997
4FGL J1544.2-2554,22.604,344.758,21.169,0.041,18.535,0.626,3.326,0.545,unid,pulsar,0.014,0.045,0.941
4FGL J1544.9+3218,52.225,51.543,7.189,0.073,13.908,1000.000,0.338,-0.100,unid,bll,0.909,0.080,0.011
4FGL J1545.2-4553,7.027,331.766,8.008,0.110,8.347,0.364,1.525,0.611,unid,pulsar,0.027,0.563,0.410
4FGL J1545.5+2839,51.720,45.671,6.776,0.153,19.648,1.639,0.035,1.315,unid,pulsar,0.026,0.050,0.923
4FGL J1546.4-1409,30.787,354.229,4.421,0.121,14.113,4.507,0.043,1.043,unid,bll,0.618,0.249,0.133
4FGL J1546.8-3244,17.045,340.487,9.492,0.073,21.746,0.563,0.058,0.046,unid,bll,0.949,0.046,0.005
4FGL J1547.0-0442,36.986,2.844,5.791,0.045,14.925,23.629,0.037,0.445,unid,bll,0.930,0.066,0.004
4FGL J1547.4-4802,5.109,330.722,12.511,0.108,13.335,0.333,4.589,0.427,unid,pulsar,0.275,0.469,0.256
4FGL J1547.5-5130,2.371,328.580,9.960,0.091,6.873,0.364,1.098,0.108,unid,bll,0.604,0.221,0.175
4FGL J1547.6-6106,-5.177,322.651,4.409,0.134,10.683,0.501,0.252,0.659,unid,pulsar,0.016,0.621,0.363
4FGL J1547.9+0445,42.415,12.934,5.971,0.066,9.760,0.100,0.569,-0.100,unid,bll,0.931,0.065,0.004
4FGL J1548.1-4416,7.968,333.178,9.705,0.065,12.238,0.456,1.604,0.781,unid,pulsar,0.006,0.131,0.863
4FGL J1548.3-2411,23.267,346.766,6.313,0.092,13.295,0.371,0.245,0.344,unid,fsrq,0.328,0.584,0.088
4FGL J1550.3-6223,-6.376,322.090,4.253,0.159,12.556,0.195,0.489,0.451,unid,fsrq,0.027,0.952,0.021
4FGL J1550.6+6027,45.075,93.462,11.616,0.038,26.344,12.478,0.021,0.115,unid,bll,0.911,0.082,0.007
4FGL J1551.7-4257,8.582,334.533,6.955,0.115,13.262,0.100,3.178,0.190,unid,fsrq,0.245,0.747,0.008
4FGL J1551.9-6015,-4.838,323.597,5.059,0.285,10.013,0.359,1.089,1.063,unid,pulsar,0.027,0.456,0.517
4FGL J1554.2+2008,47.789,33.575,11.936,0.042,10.573,25.385,0.096,0.157,unid,bll,0.928,0.064,0.008
4FGL J1555.2+7103,39.204,105.409,10.398,0.084,5.338,1.644,0.037,0.700,unid,bll,0.557,0.127,0.316
4FGL J1555.3+2903,49.655,46.804,6.065,0.063,21.026,0.100,0.178,-0.100,unid,bll,0.967,0.031,0.002
4FGL J1555.8-5551,-1.780,326.807,4.279,0.052,7.441,1.931,0.037,0.026,unid,bll,0.936,0.062,0.002
4FGL J1556.4-6911,-11.982,318.141,4.750,0.084,12.553,1.474,0.044,0.700,unid,bll,0.505,0.141,0.354
4FGL J1556.5+1116,43.813,22.140,4.764,0.102,42.271,0.191,8.372,0.764,unid,fsrq,0.147,0.601,0.253
4FGL J1556.8-5242,0.540,328.931,4.024,0.125,17.371,1.279,2.309,0.602,unid,pulsar,0.001,0.002,0.997
4FGL J1557.2+3822,49.796,61.259,4.599,0.094,10.006,2.119,0.004,0.320,unid,bll,0.906,0.085,0.009
4FGL J1557.5-5306,0.161,328.758,4.600,0.128,9.295,0.580,1.915,0.188,unid,pulsar,0.243,0.163,0.594
4FGL J1559.7-4518,5.858,334.108,5.427,0.085,12.208,0.636,0.304,0.371,unid,pulsar,0.113,0.126,0.762
4FGL J1600.4+0407,39.438,14.462,4.988,0.084,22.954,2.277,0.025,0.367,unid,bll,0.950,0.049,0.001
4FGL J1602.0-4402,6.545,335.249,6.525,0.056,25.160,0.100,2.014,0.035,unid,fsrq,0.265,0.727,0.008
4FGL J1602.2+2305,46.874,38.543,18.783,0.046,10.618,2.248,0.593,1.034,unid,pulsar,0.000,0.002,0.997
4FGL J1603.0-4808,3.360,332.667,5.798,0.206,5.868,0.154,6.095,0.404,unid,pulsar,0.632,0.310,0.058
4FGL J1603.3-6010,-5.700,324.731,21.298,0.028,8.818,2.269,1.746,0.664,unid,pulsar,0.002,0.002,0.996
4FGL J1603.6-0451,33.647,5.843,7.025,0.106,10.435,0.998,0.125,0.382,unid,bll,0.450,0.278,0.272
4FGL J1604.4-4927,2.219,331.967,7.922,0.116,18.967,0.656,6.113,0.706,unid,pulsar,0.004,0.013,0.984
4FGL J1605.1+4200,48.066,66.629,4.136,0.384,10.490,0.290,0.028,0.493,unid,bll,0.650,0.318,0.032
4FGL J1606.2-4602,4.554,334.481,4.216,0.688,10.033,0.251,2.890,0.786,unid,pulsar,0.051,0.724,0.225
4FGL J1607.9-4050,8.189,338.231,4.655,0.072,11.190,0.100,1.085,-0.028,unid,bll,0.881,0.113,0.006
4FGL J1608.4+0055,36.022,12.429,4.048,0.072,13.936,0.100,0.054,0.067,unid,bll,0.916,0.078,0.006
4FGL J1609.3-4326,6.097,336.652,5.079,0.212,18.318,0.249,2.554,0.725,unid,pulsar,0.026,0.797,0.177
4FGL J1609.6-4837,2.265,333.150,5.217,0.124,18.469,0.226,5.519,0.413,unid,fsrq,0.263,0.680,0.057
4FGL J1610.3-5154,-0.227,331.009,11.015,0.137,8.773,0.738,37.505,0.528,unid,pulsar,0.002,0.007,0.990
4FGL J1611.6-6013,-6.433,325.458,6.265,0.090,18.843,1.708,0.130,1.020,unid,pulsar,0.034,0.091,0.875
4FGL J1611.9-5125,-0.037,331.524,10.914,0.108,13.727,0.443,111.328,0.507,unid,pulsar,0.001,0.005,0.994
4FGL J1612.1+1407,41.608,27.855,20.385,0.054,5.392,1.941,0.766,0.957,unid,pulsar,0.002,0.009,0.989
4FGL J1612.4+0409,36.915,16.489,10.557,0.109,22.757,2.871,0.122,0.619,unid,bll,0.918,0.068,0.014
4FGL J1612.4-4419,5.076,336.460,5.500,0.095,10.961,0.252,1.583,0.378,unid,fsrq,0.109,0.816,0.075
4FGL J1613.0-5102,0.114,331.912,13.889,0.057,16.363,0.610,154.784,0.588,unid,pulsar,0.002,0.006,0.992
4FGL J1613.1-3840,9.072,340.480,4.486,0.058,18.343,10.552,0.055,0.619,unid,bll,0.924,0.073,0.003
4FGL J1615.3-6034,-6.992,325.549,4.463,0.109,11.520,0.100,1.242,0.201,unid,fsrq,0.323,0.666,0.011
4FGL J1615.3-1512,24.907,358.675,6.508,0.097,8.252,2.485,0.094,0.506,unid,bll,0.752,0.147,0.101
4FGL J1615.5-5434,-2.706,329.747,7.398,0.085,5.832,0.100,1.594,0.141,unid,bll,0.743,0.244,0.012
4FGL J1616.0-4501,4.133,336.430,4.239,0.169,13.650,0.351,0.646,0.332,unid,pulsar,0.160,0.491,0.349
4FGL J1616.6-5341,-2.169,330.476,23.116,0.045,12.398,1.661,13.617,1.483,unid,pulsar,0.042,0.060,0.898
4FGL J1616.6-5009,0.373,332.937,9.179,0.169,4.748,0.542,70.799,0.802,unid,pulsar,0.008,0.014,0.978
4FGL J1617.4-5812,-5.493,327.404,4.390,0.087,4.321,0.504,0.151,0.355,unid,fsrq,0.198,0.619,0.183
4FGL J1617.8-4418,4.420,337.162,4.045,0.431,9.346,0.369,2.573,1.060,unid,pulsar,0.041,0.270,0.689
4FGL J1618.0-5119,-0.631,332.280,10.877,0.099,15.589,0.892,15.051,0.356,unid,pulsar,0.056,0.034,0.910
4FGL J1618.3-4537,3.415,336.294,4.424,0.268,21.676,0.371,2.724,0.846,unid,pulsar,0.018,0.205,0.777
4FGL J1618.5-6504,-10.460,322.603,4.329,0.066,14.750,1000.000,0.139,-0.100,unid,bll,0.907,0.085,0.008
4FGL J1618.9-3922,7.782,340.793,5.172,0.041,7.662,0.100,0.669,-0.062,unid,bll,0.890,0.104,0.006
4FGL J1619.3-5047,-0.386,332.808,7.095,0.148,7.523,0.717,28.515,0.595,unid,pulsar,0.003,0.008,0.989
4FGL J1619.4-5106,-0.615,332.590,8.669,0.051,5.214,0.216,10.464,0.120,unid,bll,0.842,0.101,0.058
4FGL J1619.5-5014,-0.020,333.197,7.983,0.079,12.198,0.412,29.468,0.317,unid,pulsar,0.035,0.026,0.939
4FGL J1619.8-5144,-1.118,332.197,4.324,0.056,9.541,0.100,0.286,0.026,unid,bll,0.786,0.210,0.004
4FGL J1620.5-5729,-5.271,328.197,7.179,0.092,12.681,0.419,0.437,0.345,unid,pulsar,0.152,0.348,0.500
4FGL J1620.8-4958,0.028,333.547,11.846,0.073,8.475,0.952,47.971,0.553,unid,pulsar,0.002,0.008,0.990
4FGL J1620.8-5035,-0.416,333.114,9.420,0.084,13.581,0.894,8.577,0.214,unid,bll,0.431,0.058,0.512
4FGL J1620.9+0021,33.098,13.932,4.829,0.111,19.900,0.100,2.646,-0.100,unid,fsrq,0.554,0.438,0.009
4FGL J1620.9+4852,44.487,76.023,5.136,0.105,12.823,1.200,0.005,0.198,unid,bll,0.919,0.076,0.005
4FGL J1621.0-2625,16.453,350.653,7.670,0.174,14.355,0.470,1.399,0.730,unid,pulsar,0.004,0.100,0.896
4FGL J1621.4-4511,3.333,336.997,4.298,0.109,11.330,0.580,0.792,0.523,unid,pulsar,0.003,0.029,0.968
4FGL J1621.9+6706,39.062,99.471,4.750,0.112,6.264,0.100,0.184,-0.100,unid,bll,0.892,0.102,0.005
4FGL J1622.0-5157,-1.507,332.280,6.013,0.097,9.485,0.151,3.541,0.200,unid,fsrq,0.526,0.465,0.010
4FGL J1622.2-7202,-15.512,317.678,16.761,0.047,4.593,1.353,0.403,0.564,unid,pulsar,0.004,0.014,0.982
4FGL J1622.2-1930,20.860,356.283,4.426,0.112,10.784,0.409,0.489,0.654,unid,pulsar,0.010,0.501,0.489
4FGL J1622.4-4249,4.884,338.813,4.727,0.059,6.617,0.100,0.856,-0.081,unid,bll,0.903,0.090,0.007
4FGL J1622.5-4726,1.624,335.536,6.203,0.107,10.030,0.119,7.523,0.241,unid,fsrq,0.493,0.482,0.025
4FGL J1622.7-5104,-0.966,332.973,4.881,0.134,6.832,0.920,4.265,0.899,unid,pulsar,0.005,0.017,0.978
4FGL J1622.7-4934,0.092,334.043,9.558,0.073,8.520,0.624,98.879,0.597,unid,pulsar,0.001,0.005,0.994
4FGL J1623.0-4624,2.284,336.320,6.798,0.060,10.340,0.100,4.623,0.181,unid,fsrq,0.432,0.556,0.011
4FGL J1623.7-2315,18.136,353.538,5.588,0.077,7.980,0.190,4.376,0.496,unid,pulsar,0.297,0.617,0.087
4FGL J1624.1-4941,-0.154,334.123,6.232,0.097,13.282,0.931,12.822,0.517,unid,pulsar,0.005,0.010,0.985
4FGL J1624.1-4417,3.628,337.975,7.506,0.086,7.423,0.322,3.278,0.420,unid,pulsar,0.239,0.552,0.209
4FGL J1624.9-4538,2.585,337.098,6.455,0.165,11.701,0.417,3.879,0.643,unid,pulsar,0.039,0.209,0.752
4FGL J1626.0-4917,-0.086,334.625,5.757,0.079,13.137,0.100,3.634,0.040,unid,fsrq,0.463,0.529,0.008
4FGL J1626.1-0342,29.761,10.798,4.658,0.180,23.538,0.100,3.938,0.138,unid,fsrq,0.086,0.907,0.006
4FGL J1626.5-4858,0.062,334.900,4.757,0.085,10.319,0.424,13.679,0.427,unid,pulsar,0.092,0.057,0.851
4FGL J1626.5-4406,3.455,338.411,9.873,0.067,34.914,1.227,1.166,0.436,unid,pulsar,0.253,0.068,0.678
4FGL J1626.5+6257,40.180,94.240,7.240,0.044,22.557,12.334,0.007,0.216,unid,bll,0.906,0.087,0.007
4FGL J1626.6-4251,4.311,339.311,6.613,0.158,7.526,0.320,2.192,0.428,unid,pulsar,0.131,0.701,0.168
4FGL J1626.9-3651,8.413,343.725,4.970,0.140,16.278,0.774,0.234,0.550,unid,pulsar,0.100,0.269,0.630
4FGL J1627.0+1035,36.812,25.724,4.671,0.112,15.995,0.499,0.079,0.568,unid,fsrq,0.147,0.787,0.066
4FGL J1627.7-5749,-6.196,328.632,9.080,0.076,19.847,0.686,0.804,0.779,unid,pulsar,0.001,0.018,0.980
4FGL J1628.0-4920,-0.359,334.815,5.787,0.095,11.124,1.954,3.961,0.956,unid,pulsar,0.001,0.004,0.995
4FGL J1628.2+7518,34.967,108.395,5.033,0.375,42.531,0.100,0.604,-0.012,unid,bll,0.692,0.302,0.005
4FGL J1628.2+4642,43.539,72.834,6.260,0.054,12.333,1000.000,0.008,0.011,unid,bll,0.874,0.111,0.015
4FGL J1628.6-4553,1.952,337.366,8.161,0.092,10.801,0.108,4.292,0.153,unid,fsrq,0.444,0.547,0.009
4FGL J1629.3-4822,0.154,335.656,8.141,0.118,19.460,0.460,80.545,0.790,unid,pulsar,0.001,0.004,0.995
4FGL J1630.0-6121,-8.818,326.238,6.505,0.070,19.089,0.100,0.404,0.043,unid,bll,0.769,0.228,0.004
4FGL J1630.0-5605,-5.241,330.121,4.761,0.117,22.974,0.199,1.861,0.720,unid,fsrq,0.011,0.932,0.057
4FGL J1630.1-1049,24.831,4.933,12.765,0.056,5.597,2.006,0.912,1.475,unid,pulsar,0.044,0.053,0.904
4FGL J1630.1-3546,8.677,344.963,5.344,0.093,17.591,0.395,0.492,0.511,unid,pulsar,0.033,0.604,0.363
4FGL J1630.1+1836,39.283,35.454,4.035,0.054,10.873,0.100,0.300,-0.100,unid,bll,0.935,0.062,0.003
4FGL J1631.7-4826,-0.182,335.888,4.775,0.164,8.072,0.552,5.370,0.299,unid,pulsar,0.286,0.142,0.573
4FGL J1631.8+4144,43.124,65.973,8.235,0.049,20.467,14.183,0.021,0.426,unid,bll,0.926,0.071,0.003
4FGL J1631.8-2355,16.290,354.282,5.316,0.123,15.675,0.588,0.931,0.627,unid,pulsar,0.002,0.025,0.973
4FGL J1632.5+3839,42.903,61.752,15.998,0.061,13.928,2.067,0.366,1.132,unid,pulsar,0.001,0.005,0.994
4FGL J1633.1-3924,5.777,342.687,4.425,0.136,15.337,0.695,0.462,0.781,unid,pulsar,0.003,0.045,0.952
4FGL J1633.4-5845,-7.375,328.469,5.676,0.347,14.778,0.426,0.677,0.924,unid,pulsar,0.008,0.356,0.637
4FGL J1634.0-4742,0.032,336.692,12.207,0.078,12.755,1.046,195.251,1.134,unid,pulsar,0.002,0.005,0.993
4FGL J1634.1-4011,5.109,342.228,4.409,0.051,8.875,0.100,1.211,0.205,unid,fsrq,0.426,0.562,0.012
4FGL J1634.6-4324,2.874,339.917,4.926,0.143,22.633,0.100,0.969,-0.053,unid,bll,0.818,0.176,0.006
4FGL J1635.3-4159,3.726,341.050,5.766,0.197,9.346,0.311,3.111,0.617,unid,pulsar,0.073,0.637,0.290
4FGL J1635.3+4258,42.461,67.641,11.612,0.062,25.628,2.171,0.061,0.805,unid,bll,0.784,0.145,0.071
4FGL J1635.4-3249,9.846,347.927,9.546,0.076,12.155,0.339,1.363,0.434,unid,pulsar,0.060,0.649,0.291
4FGL J1635.4-3453,8.465,346.370,5.009,0.105,15.164,0.503,0.421,0.540,unid,pulsar,0.021,0.267,0.712
4FGL J1635.5+1234,35.769,29.058,4.832,0.060,10.210,0.100,0.030,-0.005,unid,bll,0.920,0.071,0.009
4FGL J1636.9-4710,0.032,337.414,12.339,0.064,10.136,0.451,173.467,0.422,unid,pulsar,0.003,0.009,0.988
4FGL J1637.3-6325,-10.836,325.252,4.956,0.159,9.845,0.852,0.077,0.639,unid,pulsar,0.093,0.452,0.455
4FGL J1637.9-3851,5.463,343.728,4.385,0.117,10.738,1.309,0.211,1.019,unid,pulsar,0.003,0.020,0.978
4FGL J1638.1-4641,0.208,337.901,5.751,0.118,18.845,0.751,13.050,0.454,unid,pulsar,0.028,0.030,0.942
4FGL J1638.4-4715,-0.216,337.516,6.245,0.048,3.749,0.547,17.996,0.340,unid,pulsar,0.119,0.079,0.802
4FGL J1639.0-2727,12.759,352.590,8.299,0.095,8.565,0.100,1.444,0.192,unid,bll,0.511,0.477,0.012
4FGL J1639.1-5232,-3.816,333.648,4.289,0.235,10.500,0.186,1.702,0.428,unid,fsrq,0.076,0.889,0.035
4FGL J1639.2-5638,-6.543,330.569,8.469,0.202,13.625,0.380,1.660,0.869,unid,pulsar,0.012,0.278,0.710
4FGL J1639.2-0946,23.632,7.308,4.205,0.042,6.512,0.100,0.157,-0.100,unid,bll,0.909,0.086,0.005
4FGL J1639.3-5146,-3.333,334.251,42.766,0.022,18.113,2.103,30.264,0.607,unid,pulsar,0.019,0.024,0.957
4FGL J1639.8-4642,-0.024,338.076,10.805,0.046,10.413,0.317,139.642,0.291,unid,pulsar,0.007,0.012,0.982
4FGL J1640.3-4917,-1.796,336.206,10.402,0.049,21.669,0.885,3.685,0.488,unid,pulsar,0.020,0.022,0.958
4FGL J1640.5-2408,14.624,355.432,5.986,0.139,10.109,0.226,1.504,0.397,unid,fsrq,0.090,0.854,0.055
4FGL J1640.9-5853,-8.191,329.017,4.596,0.129,12.690,0.678,0.116,0.505,unid,fsrq,0.177,0.633,0.190
4FGL J1641.3-2908,11.296,351.612,12.786,0.092,5.347,0.268,4.806,0.560,unid,pulsar,0.306,0.426,0.268
4FGL J1641.4-4803,-1.131,337.255,5.630,0.163,9.690,0.305,19.409,0.628,unid,pulsar,0.028,0.033,0.939
4FGL J1641.5+2017,37.331,38.635,5.642,0.073,14.752,1000.000,0.307,-0.053,unid,bll,0.912,0.079,0.010
4FGL J1642.1-5128,-3.457,334.747,4.465,0.216,9.093,0.233,5.482,0.742,unid,pulsar,0.133,0.509,0.358
4FGL J1643.1+1436,34.917,32.234,5.127,0.432,9.804,0.100,1.591,0.091,unid,bll,0.700,0.292,0.008
4FGL J1643.3-3148,9.242,349.823,10.382,0.060,15.334,1.136,0.445,0.483,unid,pulsar,0.016,0.006,0.978
4FGL J1644.1-5009,-2.827,335.960,4.897,0.181,12.805,0.316,3.403,0.637,unid,pulsar,0.058,0.572,0.369
4FGL J1644.8+1850,36.106,37.254,8.921,0.112,21.448,4.300,0.050,0.251,unid,bll,0.943,0.056,0.001
4FGL J1644.9-4921,-2.412,336.644,4.055,0.070,6.340,0.283,2.754,0.525,unid,pulsar,0.142,0.702,0.156
4FGL J1645.0+1654,35.357,35.057,5.984,0.135,10.625,0.173,0.019,0.042,unid,bll,0.918,0.074,0.008
4FGL J1645.1-4123,2.749,342.712,7.307,0.102,11.111,2.463,0.437,0.673,unid,pulsar,0.009,0.003,0.988
4FGL J1645.2-5218,-4.363,334.442,4.444,0.143,12.705,0.255,2.118,0.723,unid,pulsar,0.024,0.815,0.162
4FGL J1645.4-5514,-6.292,332.205,4.957,0.328,18.954,0.497,0.393,0.694,unid,pulsar,0.013,0.512,0.475
4FGL J1646.5-4406,0.805,340.816,6.805,0.060,17.019,2.324,1.354,0.581,unid,pulsar,0.010,0.002,0.987
4FGL J1646.7-2154,14.910,358.164,8.173,0.079,21.968,0.538,1.440,0.639,unid,pulsar,0.006,0.064,0.930
4FGL J1647.1-5418,-5.874,333.095,5.384,0.201,9.883,0.508,0.949,1.046,unid,pulsar,0.010,0.141,0.849
4FGL J1647.5-5724,-7.899,330.725,6.222,0.072,9.290,0.190,1.072,0.439,unid,fsrq,0.047,0.920,0.033
4FGL J1647.5-5319,-5.298,333.882,4.662,0.199,3.124,0.399,0.692,0.736,unid,pulsar,0.063,0.703,0.233
4FGL J1648.1-1547,18.350,3.452,9.815,0.043,15.370,77.185,0.188,0.091,unid,bll,0.919,0.068,0.014
4FGL J1648.4-4824,-2.234,337.747,4.674,0.048,8.349,0.100,3.024,0.082,unid,bll,0.735,0.258,0.007
4FGL J1648.4-4554,-0.623,339.667,4.636,0.070,7.729,0.100,3.861,-0.062,unid,bll,0.843,0.150,0.007
4FGL J1648.7+4834,39.961,74.979,6.953,0.086,14.550,4.579,0.012,0.453,unid,bll,0.935,0.063,0.002
4FGL J1649.2-4513,-0.292,340.279,6.561,0.143,5.719,0.487,52.974,0.745,unid,pulsar,0.004,0.011,0.986
4FGL J1649.3-4441,0.034,340.687,12.416,0.052,6.261,1.499,24.991,0.708,unid,pulsar,0.005,0.014,0.980
4FGL J1650.9-4420,0.039,341.155,4.125,0.136,7.507,0.307,36.556,0.495,unid,pulsar,0.011,0.015,0.975
4FGL J1651.1-5848,-9.155,329.923,8.800,0.179,8.899,0.493,0.622,0.675,unid,pulsar,0.006,0.163,0.831
4FGL J1651.4-4442,-0.258,340.925,5.473,0.061,12.011,1.836,3.103,0.569,unid,pulsar,0.003,0.002,0.994
4FGL J1651.7-4359,0.152,341.505,11.301,0.066,14.981,1.110,50.685,0.881,unid,pulsar,0.001,0.004,0.995
4FGL J1652.2-4516,-0.737,340.569,8.640,0.097,19.922,0.608,23.666,0.583,unid,pulsar,0.004,0.012,0.984
4FGL J1652.3+4526,39.420,70.904,4.267,0.130,13.923,1.267,0.007,0.569,unid,bll,0.918,0.074,0.009
4FGL J1653.0+3640,38.684,59.651,6.353,0.088,16.546,5.182,0.009,0.296,unid,bll,0.920,0.077,0.003
4FGL J1653.2-4349,0.058,341.803,16.694,0.045,16.826,0.546,203.786,0.546,unid,pulsar,0.004,0.009,0.986
4FGL J1654.2-4907,-3.425,337.807,7.511,0.066,23.881,0.100,2.884,0.167,unid,fsrq,0.074,0.919,0.006
4FGL J1654.2-3136,7.578,351.463,4.107,0.135,8.023,0.168,0.551,0.305,unid,fsrq,0.154,0.824,0.021
4FGL J1654.5-5509,-7.237,333.103,7.227,0.549,8.592,0.280,1.697,0.722,unid,pulsar,0.028,0.794,0.178
4FGL J1654.7-3639,4.342,347.556,4.888,0.157,27.222,0.332,0.668,0.381,unid,fsrq,0.163,0.737,0.099
4FGL J1655.6+0317,27.142,21.967,6.650,0.059,17.977,11.897,0.027,0.322,unid,bll,0.927,0.070,0.002
4FGL J1655.7-2411,11.864,357.607,4.952,0.204,6.136,0.274,0.248,0.262,unid,fsrq,0.345,0.597,0.058
4FGL J1655.9-3940,2.282,345.350,7.765,0.075,14.471,1.541,1.114,0.642,unid,pulsar,0.000,0.000,1.000
4FGL J1655.9-3101,7.651,352.155,6.017,0.107,9.105,0.838,0.241,0.448,unid,pulsar,0.030,0.076,0.894
4FGL J1656.1-4706,-2.407,339.575,5.237,0.077,10.003,1.673,0.554,0.357,unid,pulsar,0.058,0.004,0.938
4FGL J1656.4-0410,23.182,14.976,10.173,0.052,12.809,1.834,0.394,0.934,unid,pulsar,0.000,0.003,0.997
4FGL J1656.5-2733,9.678,354.998,10.728,0.056,10.660,1.674,0.744,1.301,unid,pulsar,0.001,0.006,0.992
4FGL J1656.9-4814,-3.217,338.774,6.079,0.105,12.333,0.224,6.924,0.526,unid,pulsar,0.280,0.512,0.207
4FGL J1656.9-5717,-8.821,331.625,5.929,0.169,20.652,0.550,0.289,0.595,unid,fsrq,0.059,0.667,0.273
4FGL J1657.3-6232,-12.037,327.405,5.407,0.135,14.398,0.210,0.136,0.204,unid,bll,0.704,0.292,0.004
4FGL J1657.4-3917,2.291,345.826,7.183,0.110,5.929,1.013,0.954,0.303,unid,pulsar,0.009,0.011,0.980
4FGL J1657.7-4656,-2.512,339.880,6.707,0.086,11.530,1.363,0.676,0.202,unid,bll,0.356,0.019,0.626
4FGL J1657.7-4520,-1.528,341.137,6.866,0.059,15.333,0.276,1.533,0.140,unid,bll,0.771,0.192,0.038
4FGL J1658.3-4637,-2.408,340.187,6.703,0.107,9.904,0.514,1.126,0.175,unid,pulsar,0.230,0.145,0.625
4FGL J1658.5-5034,-4.877,337.094,4.561,0.066,7.784,0.100,3.018,0.008,unid,bll,0.831,0.163,0.006
4FGL J1658.5+4315,38.235,68.138,4.896,0.062,13.738,72.065,0.007,0.241,unid,bll,0.902,0.086,0.012
4FGL J1659.0-0140,23.928,17.665,16.058,0.047,3.045,1.785,1.307,0.595,unid,pulsar,0.028,0.048,0.924
4FGL J1659.2-1443,16.789,5.996,8.017,0.067,28.186,0.954,0.294,0.312,unid,bll,0.907,0.079,0.014
4FGL J1659.6+4918,38.152,75.841,6.314,0.088,18.882,2.189,0.008,0.209,unid,bll,0.922,0.075,0.003
4FGL J1700.0-0122,23.865,18.092,5.209,0.119,6.667,0.778,0.377,0.913,unid,pulsar,0.005,0.076,0.918
4FGL J1700.2-4237,-0.197,343.539,6.518,0.213,15.550,0.428,45.504,0.809,unid,pulsar,0.001,0.005,0.994
4FGL J1700.3-4557,-2.265,340.934,6.901,0.112,19.772,0.852,1.965,0.532,unid,pulsar,0.003,0.008,0.989
4FGL J1700.4-2746,8.868,355.342,5.531,0.074,5.901,0.100,2.084,0.021,unid,bll,0.879,0.113,0.008
4FGL J1700.8-5218,-6.219,335.938,5.341,0.122,13.563,0.144,1.011,0.306,unid,fsrq,0.116,0.868,0.016
4FGL J1700.8-7304,-18.418,318.708,6.569,0.077,21.055,0.282,0.070,0.218,unid,bll,0.775,0.219,0.006
4FGL J1701.3-4924,-4.510,338.300,7.452,0.101,7.074,0.498,0.905,0.381,unid,pulsar,0.029,0.167,0.805
4FGL J1701.8-2226,11.800,359.892,4.919,0.113,13.927,0.992,0.142,0.461,unid,bll,0.428,0.279,0.294
4FGL J1701.9-4625,-2.777,340.726,6.502,0.177,15.784,0.613,3.433,0.694,unid,pulsar,0.005,0.023,0.973
4FGL J1702.0-3721,2.771,347.916,5.155,0.132,19.286,0.652,0.566,0.456,unid,pulsar,0.024,0.053,0.923
