name,glon,glat,d,Fp,Ep,diffuse,pdf_young,pdf_MSP
4FGL J0917.9-4755,270.389,1.060,0.840,15.278,0.361,1.078,0.171,0.050
4FGL J0918.9-4904,271.334,0.294,0.759,4.543,0.291,1.105,0.066,0.052
4FGL J0926.1-5336,275.312,-2.138,1.003,0.880,2.009,0.968,0.100,0.161
4FGL J0933.8-6232,282.230,-7.910,1.139,18.531,2.144,0.300,0.099,0.336
4FGL J0951.8-5944,282.016,-4.363,1.333,0.528,1.046,0.614,0.047,0.018
4FGL J1003.2-5737,282.024,-1.665,0.649,3.244,0.746,1.391,0.218,0.064
4FGL J1006.5-5626,281.549,-0.529,1.101,6.910,0.519,1.315,0.057,0.007
4FGL J1011.4-5729,282.823,-0.953,0.729,9.997,0.509,1.366,0.247,0.054
4FGL J1020.4-5508,282.446,1.600,1.440,0.175,4.892,0.935,0.000,0.002
4FGL J1020.4-5314,281.399,3.204,0.822,1.114,0.874,0.579,0.204,0.241
4FGL J1037.8-5810,285.982,0.214,0.516,12.576,0.468,1.226,0.220,0.092
4FGL J1038.8-5848,286.480,-0.243,0.534,11.017,0.468,1.228,0.211,0.095
4FGL J1054.0-5938,288.468,-0.063,0.696,0.821,1.197,1.187,0.161,0.109
4FGL J1056.2-6323,290.482,-3.384,0.694,6.824,0.161,0.762,0.014,0.027
4FGL J1115.1-6118,291.616,-0.546,0.096,22.204,0.100,1.142,0.017,0.003
4FGL J1118.6-6159,292.214,-1.034,0.545,0.892,0.728,1.214,0.136,0.084
4FGL J1127.9-6158,293.281,-0.723,0.753,5.680,0.915,1.304,0.458,0.072
4FGL J1154.5-5952,295.822,2.146,0.955,1.905,0.545,0.654,0.137,0.066
4FGL J1203.4-6145,297.232,0.574,0.744,4.584,0.578,0.998,0.232,0.153
4FGL J1203.7-6303,297.539,-0.693,0.743,4.212,0.795,1.313,0.316,0.088
4FGL J1204.3-6111,297.303,1.117,0.955,3.321,0.432,0.875,0.097,0.081
4FGL J1205.3-6212,297.576,0.156,0.437,2.316,0.562,1.203,0.146,0.060
4FGL J1206.8-6038,297.495,1.760,0.599,0.532,0.791,0.783,0.142,0.173
4FGL J1207.9-6443,298.309,-2.231,0.901,1.482,1.281,0.947,0.277,0.152
4FGL J1208.0-6900,299.037,-6.473,0.534,1.325,0.705,0.322,0.148,0.465
4FGL J1209.4-6421,298.410,-1.872,0.458,1.685,0.358,0.950,0.059,0.071
4FGL J1209.9-5923,297.559,3.271,0.900,0.445,0.541,0.689,0.049,0.054
4FGL J1213.6-5954,298.194,2.598,0.955,0.372,1.315,0.750,0.085,0.190
4FGL J1216.7-5911,298.535,3.320,0.703,2.250,0.333,0.763,0.062,0.062
4FGL J1216.8-5955,298.765,2.680,0.450,1.928,0.474,0.412,0.083,0.269
4FGL J1227.8-7004,300.911,-7.299,1.059,0.293,0.480,0.311,0.064,0.004
4FGL J1243.1-6754,302.152,-5.044,1.041,0.657,0.417,0.561,0.071,0.010
4FGL J1244.3-6233,302.133,0.327,0.391,8.074,0.810,1.381,0.204,0.078
4FGL J1257.0-6339,303.556,-0.780,0.444,10.745,0.970,1.337,0.272,0.098
4FGL J1312.3-6257,305.291,-0.242,0.219,23.424,0.157,1.387,0.033,0.003
4FGL J1315.9-6243,305.646,-0.002,0.452,5.279,0.781,1.369,0.233,0.062
4FGL J1321.1-6239,306.528,0.141,0.571,6.142,0.729,1.348,0.328,0.091
4FGL J1325.3-5413,307.930,8.355,0.542,1.624,0.619,0.450,0.171,0.362
4FGL J1325.4-4706,308.921,15.361,0.778,0.267,0.669,0.117,0.072,0.203
4FGL J1329.9-6108,307.569,1.382,0.742,12.046,1.793,1.005,0.256,0.107
