name,log_nbb,pindex,curvature,log_e0,abs_sin_b,log_eflux,category,ts,r95,glat,uw_name,ra,dec
4FGL J1931.0+1754,0.477121,2.551975,0.500714,3.212872,0.005254,-11.143575,X,71.702577,0.151012,-0.301011,J1930.9+1752,292.733951,17.880108
4FGL J1931.1+1656,0.000000,2.584690,0.241963,3.078317,0.013374,-10.464635,fsrq,692.091259,0.046079,-0.766319,J1930.9+1655,292.742567,16.927313
4FGL J1933.4-2711,0.477121,1.951055,0.110903,3.343569,0.353882,-11.867693,bll,27.942905,0.068306,-20.724919,J1933.9-2706,293.484496,-27.113811
4FGL J1934.2-1446,0.000000,2.603468,0.400600,2.921507,0.277610,-11.487258,fsrq,78.584246,0.124301,-16.117613,J1934.7-1442,293.697935,-14.703523
4FGL J1934.2+1036,0.301030,2.995681,0.344654,2.912371,0.078410,-11.269567,fsrq,51.788921,0.249385,-4.497205,J1934.2+1037,293.561511,10.619446
4FGL J1935.0-0553,0.000000,2.595176,0.261141,3.006993,0.212550,-11.519313,fsrq,39.584239,0.129541,-12.271807,J1934.7-0549,293.687222,-5.817722
4FGL J1935.4+3547,0.000000,2.542559,0.652051,2.951333,0.128903,-11.812827,X,35.439950,0.257871,7.406178,J1935.4+3547,293.864705,35.796207
4FGL J1935.5+1407,0.000000,1.850864,0.466391,4.111984,0.054136,-11.908403,bll,34.478047,0.059210,-3.103257,J1935.6+1407,293.907479,14.122638
4FGL J1936.6+1921,0.000000,2.591441,0.407926,3.301119,0.013150,-11.293878,X,63.469678,0.112748,-0.753445,J1936.7+1925,294.185394,19.429439
4FGL J1940.2-2511,0.000000,2.175133,0.421326,3.181085,0.363853,-11.618377,X,118.840360,0.064557,-21.337020,J1940.1-2511,295.029535,-25.189554
4FGL J1942.1+1142,0.000000,2.652093,0.006418,3.086279,0.098765,-11.317294,fsrq,48.803303,0.105601,-5.668084,J1942.1+1142,295.541563,11.711335
4FGL J1942.4+0927,0.000000,2.549235,0.007394,3.125255,0.119360,-11.454748,fsrq,33.383600,0.116793,-6.855173,J1942.5+0926,295.636622,9.441859
4FGL J1943.9+2841,0.000000,2.400847,0.527845,3.326138,0.041272,-11.553021,X,66.225046,0.111457,2.365391,J1944.0+2841,296.013213,28.693803
4FGL J1944.8+4301,0.301030,2.099236,0.389929,3.495507,0.161102,-11.620977,bll,173.948528,0.035079,9.270865,J1944.7+4302,296.199484,43.036602
4FGL J1946.5-1527,0.301030,2.101226,0.635566,3.489556,0.325265,-11.924764,X,50.129662,0.061636,-18.981652,J1946.3-1528,296.594475,-15.467554
4FGL J1947.0+0031,0.301030,2.035145,0.740844,3.519143,0.209159,-11.852317,X,67.294285,0.058493,-12.073083,J1946.9+0032,296.736973,0.539317
4FGL J1947.1+1729,0.000000,2.454880,0.214359,3.298260,0.067395,-11.618865,bll,42.536453,0.087525,-3.864367,J1947.1+1729,296.795984,17.490577
4FGL J1948.0-2845,0.477121,2.355256,0.483419,3.109306,0.410328,-11.861604,X,30.128838,0.153824,-24.225422,J1948.0-2848,297.007241,-28.805719
4FGL J1948.8+2420,0.000000,2.557283,-0.070753,3.282493,0.013082,-10.900909,bll,73.020123,0.062570,-0.749554,J1948.8+2420,297.218396,24.348957
4FGL J1948.9+3414,0.301030,2.441082,0.405706,3.448949,0.073051,-11.517755,X,114.173456,0.066312,4.189266,J1949.0+3411,297.272691,34.196965
4FGL J1949.2-1453,0.000000,2.151502,0.280992,3.323088,0.332128,-11.588997,bll,112.368565,0.048475,-19.398007,J1949.2-1455,297.318656,-14.919525
