name,ts,glat,glon,curv,epeak,fpeak,curv_unc
4FGL J1058.9-6101,186.800,-1.086,289.795,0.363,0.100,41.558,0.196
4FGL J1106.7-1742,284.120,38.491,270.478,0.865,1.466,0.344,0.253
4FGL J1112.2-6055,352.903,-0.296,291.162,0.615,0.552,24.810,0.147
4FGL J1115.1-6118,345.655,-0.546,291.616,0.104,0.100,12.797,0.065
4FGL J1118.6-6159,67.044,-1.034,292.214,0.421,0.100,17.511,0.311
4FGL J1120.0-2204,4523.991,36.064,276.494,0.947,1.096,26.812,0.084
4FGL J1126.0-5007,95.770,10.471,289.213,1.468,2.682,0.173,0.738
4FGL J1127.9-6158,124.443,-0.723,293.281,0.702,1.081,4.313,0.239
4FGL J1146.0-6822,90.379,-6.192,296.950,1.976,1.598,0.201,0.232
4FGL J1150.1-6324,132.523,-1.340,296.145,0.129,0.100,85.166,0.142
4FGL J1154.5-5952,96.904,2.146,295.822,1.287,0.569,1.621,0.512
4FGL J1157.2-6059,53.699,1.225,296.404,0.559,0.367,2.167,0.317
4FGL J1157.7-6327,116.027,-1.246,296.944,0.877,0.715,4.986,0.279
4FGL J1202.9-5717,52.842,5.162,296.487,1.995,0.798,0.242,
4FGL J1203.4-6145,96.964,0.574,297.232,0.592,0.670,1.897,0.207
4FGL J1203.5-1748,110.021,43.603,287.120,0.558,1.755,0.111,0.248
4FGL J1203.5-5745,45.751,4.541,296.562,0.617,1.032,0.190,0.427
4FGL J1204.3-6111,52.091,1.117,297.303,1.022,0.444,2.988,0.410
4FGL J1204.5-5032,280.626,11.644,295.362,1.270,1.376,1.073,0.319
4FGL J1206.8-5836,51.269,3.748,296.949,1.212,0.634,0.604,0.793
4FGL J1207.4-4536,228.882,16.580,294.912,0.870,1.163,0.430,0.255
4FGL J1208.0-6900,252.514,-6.473,299.037,0.636,1.101,0.851,0.178
4FGL J1208.5-5512,59.143,7.174,296.787,0.686,1.619,0.101,0.336
4FGL J1209.9-5923,41.733,3.271,297.559,1.329,1.334,0.307,0.638
4FGL J1210.4-6250,422.967,-0.319,298.250,1.492,0.805,39.574,0.488
4FGL J1213.6-5954,120.805,2.598,298.194,1.978,0.615,1.905,
4FGL J1213.9-4416,373.216,18.093,295.890,0.458,0.393,1.050,0.151
4FGL J1216.7-5911,182.779,3.320,298.535,0.681,0.386,3.962,0.366
