4FGL-DR4,source_type,glat,glon,significance,r95,Ep,Fp,d,p_pulsar,diffuse
4FGL J0711.3-0942,unk-pulsar,-0.049,223.836,4.864,0.194,0.336,2.429,1.084,0.934,0.657
4FGL J0712.0-6431,unid-pulsar,-22.167,275.379,11.991,0.077,2.016,0.158,1.061,0.908,-0.086
4FGL J0715.7-1128,unid-pulsar,0.082,225.897,7.449,0.278,0.314,4.200,0.802,0.813,0.741
4FGL J0716.0-0826,unid-pulsar,1.577,223.260,4.580,0.112,0.351,0.471,0.555,0.673,0.500
4FGL J0718.8-5004,unid-pulsar,-16.353,261.323,11.782,0.064,1.137,0.237,0.770,0.982,-0.060
4FGL J0722.4-2650,unid-pulsar,-5.668,240.256,11.022,0.068,1.001,0.426,0.495,0.992,0.388
4FGL J0722.7-2309,unid-pulsar,-3.885,237.010,6.633,0.217,0.156,5.390,0.501,0.608,0.819
4FGL J0725.3-2550,unid-pulsar,-4.631,239.671,5.213,0.311,0.205,3.526,0.799,0.706,0.750
4FGL J0729.3-1445,psr,1.467,230.359,8.506,0.142,0.223,1.590,0.281,0.191,0.635
4FGL J0731.2-1403,bll-pulsar,2.199,229.966,8.529,0.097,2.137,0.233,0.659,0.967,0.427
4FGL J0731.5-1910,unid-pulsar,-0.189,234.481,4.278,0.230,0.219,3.445,0.614,0.667,0.976
4FGL J0734.7-1559,psr,2.013,232.064,65.947,0.023,0.639,149.837,0.544,0.993,0.529
4FGL J0736.9-3231,unid-pulsar,-5.575,246.786,16.113,0.072,0.385,6.270,0.675,0.933,0.581
4FGL J0737.9-3041,msp,-4.509,245.266,4.354,0.135,1.020,0.075,0.424,0.150,0.488
4FGL J0739.6-4530,unid-pulsar,-11.247,258.598,5.309,0.079,0.801,0.091,0.652,0.413,0.219
4FGL J0741.0+6618,msp,29.624,149.765,20.960,0.052,1.865,0.313,0.894,0.957,-0.469
4FGL J0742.8-2822,psr,-2.442,243.778,28.430,0.046,0.908,12.289,0.654,0.997,0.653
4FGL J0744.0-2525,psr,-0.739,241.353,35.164,0.035,1.337,21.353,0.913,0.995,0.551
4FGL J0744.9-4028,unid-pulsar,-7.999,254.569,13.913,0.062,1.679,0.626,0.602,0.996,0.487
4FGL J0749.6+1324,bcu-pulsar,18.866,207.178,13.091,0.083,0.773,0.309,0.545,0.959,-0.470
4FGL J0749.8-4420,unid-pulsar,-9.101,258.437,7.682,0.094,1.328,0.132,0.905,0.809,0.161
