name,glon,glat,ts,r95,curvature,Fp,Ep,source type
4FGL J1005.5-5708,281.837,-1.079,130.259,0.099,1.112,7.971,0.745,UNID-PSR
4FGL J1008.7-4659,276.307,7.305,41.247,0.101,1.299,0.069,1.498,MSP
4FGL J1012.1-4235,274.224,11.232,448.923,0.030,0.416,0.779,1.420,MSP
4FGL J1015.1-6353,286.768,-6.068,103.310,0.055,0.804,0.242,1.329,UNID-PSR
4FGL J1016.2-5729,283.254,-0.693,36.619,0.114,0.418,0.873,0.746,UNID-PSR
4FGL J1016.3-5857,284.087,-1.876,3710.315,0.016,0.497,283.506,0.810,young
4FGL J1018.2+0145,241.080,45.424,73.343,0.098,1.973,0.169,0.960,UNID-PSR
4FGL J1019.8-5749,283.840,-0.686,653.411,0.032,0.525,33.095,0.909,young
4FGL J1020.4-5508,282.446,1.600,57.388,0.064,1.184,0.180,3.588,UNID-PSR
4FGL J1020.4-5314,281.399,3.204,192.602,0.070,0.871,1.664,0.699,UNID-PSR
4FGL J1023.0-5745,284.170,-0.401,14670.349,0.013,0.594,2785.384,0.666,young
4FGL J1024.5-0719,251.693,40.493,474.706,0.036,0.986,0.837,1.746,MSP
4FGL J1026.2-5731,284.403,0.009,526.938,0.041,0.953,37.879,1.069,UNID-PSR
4FGL J1028.5-5819,285.063,-0.497,39457.510,0.010,0.367,4876.335,0.924,young
4FGL J1035.4-6720,290.378,-7.840,3269.624,0.016,0.933,26.141,1.621,MSP
4FGL J1036.5-8318,298.943,-21.501,401.118,0.032,0.815,0.772,1.783,MSP
4FGL J1036.6-4349,278.712,12.561,200.499,0.041,0.389,0.242,1.268,MSP
4FGL J1037.8-5810,285.982,0.214,196.497,0.063,0.869,5.827,1.175,UNID-PSR
4FGL J1038.8-5848,286.480,-0.243,76.347,0.091,0.428,0.940,1.492,UNID-PSR
4FGL J1044.4-5737,286.580,1.160,11245.225,0.013,0.635,774.807,0.744,young
4FGL J1046.7-6010,288.094,-0.963,161.499,0.071,0.498,7.678,0.541,UNID-PSR
4FGL J1048.2-5832,287.428,0.575,35136.584,0.010,0.393,3138.956,0.846,young
4FGL J1048.5-5923,287.841,-0.147,401.713,0.053,1.185,27.435,0.876,UNID-PSR
4FGL J1048.6+2340,213.147,62.141,496.129,0.038,0.268,0.557,0.617,MSP
4FGL J1054.0-5938,288.468,-0.063,28.644,0.111,1.230,0.321,2.540,UNID-PSR
